ID,Capture date,Site type,Flyway,Site ID,Sex,Forewing length (mm),Infection status (0 or 1),Reproductive status (0 or 1),Migratory status,Stable isotope H value,Stable isotope C value,Total cardenolide concentration
756,10/29/2014,year-round breeding,coastal,7,M,54.43,0,0,migrant,-118.17,-29.44,0
757,10/29/2014,year-round breeding,coastal,7,M,50.71,0,0,migrant,-124.28,-28.48,0.21704
758,10/29/2014,year-round breeding,coastal,7,M,52.52,0,0,migrant,-108.36,-26.28,0
759,10/29/2014,year-round breeding,coastal,7,M,53.49,0,0,migrant,-79.98,-29.64,0
760,10/29/2014,year-round breeding,coastal,7,M,53.71,0,0,migrant,-124.93,-27.58,0.29757
761,10/29/2014,year-round breeding,coastal,7,M,52.25,0,0,migrant,-116.52,-28.52,0
762,10/29/2014,year-round breeding,coastal,7,M,53.55,0,1,migrant,-109.8,-28.59,0.15535
763,10/29/2014,year-round breeding,coastal,7,M,50.1,0,0,migrant,-130.46,-28.34,0.85253
764,10/29/2014,year-round breeding,coastal,7,M,51.47,0,1,migrant,-128.85,-27.17,0.70535
765,10/29/2014,year-round breeding,coastal,7,M,52.35,0,0,migrant,-126.68,-29.62,1.31751
766,10/29/2014,year-round breeding,coastal,7,M,53.61,0,0,migrant,-124.41,-27.88,0.01503
767,10/29/2014,year-round breeding,coastal,7,F,52.66,0,0,migrant,-118.39,-29.18,0
768,10/29/2014,year-round breeding,coastal,7,M,54.48,0,1,migrant,-123.16,-27.31,0.276
769,10/29/2014,year-round breeding,coastal,7,F,51.45,0,0,migrant,-101.98,-27.98,0.67913
770,10/29/2014,year-round breeding,coastal,7,F,50.69,0,0,migrant,-119.89,-29.33,0
771,10/29/2014,year-round breeding,coastal,7,F,46.73,0,0,unclassifiable,-101.79,-29.62,0.87314
772,10/29/2014,year-round breeding,coastal,7,F,51.25,0,0,migrant,-109.01,-29.44,0
773,10/29/2014,year-round breeding,coastal,7,M,55.55,0,0,migrant,-137.48,-27.58,0.53033
774,10/29/2014,year-round breeding,coastal,7,M,51.17,0,1,migrant,-92.46,-26.97,0.22347
775,10/29/2014,year-round breeding,coastal,7,F,50.51,1,0,resident,-84.39,-30.62,2.7167
776,10/29/2014,year-round breeding,coastal,7,M,51.96,0,1,migrant,-104.77,-29.86,0
777,10/29/2014,year-round breeding,coastal,7,M,52.04,0,1,NA,-139.71,-26.98,NA
778,10/29/2014,year-round breeding,coastal,7,M,51.08,0,0,migrant,-89.85,-29,0.12567
779,10/29/2014,year-round breeding,coastal,7,M,52.5,0,1,migrant,-124.87,-28.86,0.24345
780,10/22/2014,year-round breeding,coastal,7,M,53.3,1,1,migrant,-125.13,-27.19,0.26128
781,10/19/2014,year-round breeding,coastal,7,M,51.81,1,1,resident,-93.12,-30.08,0.8104
782,10/19/2014,year-round breeding,coastal,7,M,53.57,1,1,migrant,-92.62,-29.19,0.11862
783,10/14/2014,year-round breeding,coastal,7,M,48.8,1,1,migrant,-88.16,-28.85,0.5913
784,10/29/2014,year-round breeding,coastal,6,M,55.43,0,0,migrant,-123.61,-30.27,0
785,10/29/2014,year-round breeding,coastal,6,M,53.36,0,1,migrant,-109.4,-28.65,0
786,10/29/2014,year-round breeding,coastal,6,M,55.26,1,1,resident,-98.94,-30.54,1.92906
787,10/29/2014,year-round breeding,coastal,6,M,53.12,1,1,resident,-88.88,-28.86,1.16425
788,10/29/2014,year-round breeding,coastal,6,F,51.48,0,0,migrant,-115.81,-27.6,0.27065
789,10/29/2014,year-round breeding,coastal,6,M,52.72,0,1,resident,-94.16,-30.91,1.45602
790,10/29/2014,year-round breeding,coastal,6,M,49.9,0,0,migrant,-125.7,-28.18,0
791,10/29/2014,year-round breeding,coastal,6,F,49.85,1,1,resident,-97.31,-31.7,2.30489
792,10/29/2014,year-round breeding,coastal,6,M,53.34,0,0,migrant,-110.2,-28.15,0.51692
793,10/29/2014,year-round breeding,coastal,6,M,50.49,1,0,resident,-94.03,-31.12,1.81825
794,10/29/2014,year-round breeding,coastal,6,M,52.6,0,0,migrant,-113.52,-27.21,0.04542
795,10/23/2014,year-round breeding,coastal,6,M,49.91,1,0,resident,-96.38,-30.62,0.7658
796,10/21/2014,year-round breeding,coastal,6,M,53.98,1,NA,resident,-93.06,-28.45,1.00179
797,10/21/2014,year-round breeding,coastal,6,M,53.18,1,1,resident,-81.03,-28.05,1.37825
798,10/17/2014,year-round breeding,coastal,6,M,52.32,1,0,resident,-94.38,-26.64,1.33941
799,10/31/2014,seasonal stopover,coastal,4,M,NA,0,0,migrant,-106.96,-28.48,0.20307
800,10/31/2014,seasonal stopover,coastal,4,F,51.38,0,0,migrant,-96.19,-29.46,0
801,10/31/2014,seasonal stopover,coastal,4,F,52.75,0,0,migrant,-132.36,-28.75,0.27299
802,10/31/2014,seasonal stopover,coastal,4,F,53.4,0,0,migrant,-116.77,-27.4,0
803,10/31/2014,seasonal stopover,coastal,4,M,56.33,0,0,migrant,-122.01,-26.8,0.32082
804,10/31/2014,seasonal stopover,coastal,4,M,47.78,0,0,migrant,-117.46,-29.04,0
805,10/31/2014,seasonal stopover,coastal,4,F,50.65,0,0,migrant,-120.9,-28.65,0
806,10/31/2014,seasonal stopover,coastal,4,F,50.81,0,0,migrant,-140.16,-27.76,0
807,10/31/2014,seasonal stopover,coastal,4,M,53.23,0,0,migrant,-119.38,-28.48,0.08247
808,10/31/2014,seasonal stopover,coastal,4,M,50.77,0,0,migrant,-97.27,-28.24,0.75348
809,10/31/2014,seasonal stopover,coastal,4,F,52.48,0,0,migrant,-117.29,-28.34,0.01472
810,10/31/2014,seasonal stopover,coastal,4,M,50.69,0,0,migrant,-101.31,-30.14,0
811,10/31/2014,seasonal stopover,coastal,4,M,53.05,0,0,migrant,-114.05,-28.86,0
812,10/31/2014,seasonal stopover,coastal,4,M,52,0,0,migrant,-123.75,-28.46,0.16867
813,10/31/2014,seasonal stopover,coastal,4,M,55.44,0,0,migrant,-135.34,-28.87,0
814,10/31/2014,seasonal stopover,coastal,4,M,55,0,0,migrant,-111.16,-28.62,0
815,11/1/2014,seasonal stopover,coastal,4,M,51.07,0,0,migrant,-133.9,-27.93,0.13423
816,11/1/2014,seasonal stopover,coastal,4,M,52.08,0,0,migrant,-125.04,-27.91,0.07729
817,11/1/2014,seasonal stopover,coastal,4,M,55.29,0,0,migrant,-135.82,-27.63,0.01382
818,11/1/2014,seasonal stopover,coastal,4,M,52.65,0,0,migrant,-104.51,-29.46,0.65762
819,11/1/2014,seasonal stopover,coastal,4,M,52.93,0,0,migrant,-105.81,-28.47,0.23092
820,11/1/2014,seasonal stopover,coastal,4,M,56.26,0,0,migrant,-112.32,-26.9,0.1776
821,11/1/2014,seasonal stopover,coastal,4,F,50.78,0,0,migrant,-86.51,-28.8,0
822,11/1/2014,seasonal stopover,coastal,4,M,50.42,0,0,migrant,-124.39,-28,0
823,11/1/2014,seasonal stopover,coastal,4,M,53.54,0,0,migrant,-118.91,-28.54,0
824,11/1/2014,seasonal stopover,coastal,4,M,52.68,0,0,migrant,-128.38,-25.85,0
825,11/1/2014,seasonal stopover,coastal,4,M,54.33,0,0,migrant,-120.56,-27.86,0
826,11/1/2014,seasonal stopover,coastal,4,F,54.31,0,0,migrant,-122.29,-27.2,0.33188
827,11/1/2014,seasonal stopover,coastal,4,M,52.15,0,0,migrant,-114.23,-29.62,0.16728
828,11/1/2014,seasonal stopover,coastal,4,M,51.49,0,0,migrant,-101.6,-27.39,0.12485
829,11/1/2014,seasonal stopover,coastal,4,M,53.69,0,0,migrant,-144.08,-26.22,0.43889
830,11/1/2014,seasonal stopover,coastal,4,F,52.84,0,0,migrant,-117.63,-29.27,0
831,11/1/2014,seasonal stopover,coastal,4,F,48.72,0,0,migrant,-103.59,-29.31,0
832,11/1/2014,seasonal stopover,coastal,4,M,54.03,0,0,migrant,-104.18,-28.86,0.12837
833,11/2/2014,seasonal stopover,coastal,4,F,52.84,0,0,migrant,-104.61,-29.2,0.11279
834,11/2/2014,seasonal stopover,coastal,4,M,52.68,0,1,migrant,-88.22,-29.59,0.53635
835,11/2/2014,seasonal stopover,coastal,4,F,50.21,0,0,migrant,-123.95,-26.73,0
836,11/2/2014,seasonal stopover,coastal,4,M,NA,0,1,migrant,-132.6,-27.66,0
837,11/2/2014,seasonal stopover,coastal,4,M,50.42,0,0,migrant,-112.16,-27.74,1.01442
838,11/2/2014,seasonal stopover,coastal,4,M,53.65,0,0,migrant,-96.35,-28.87,0.47279
839,11/2/2014,seasonal stopover,coastal,4,M,52.15,0,0,migrant,-114.83,-28.47,0.21288
840,11/2/2014,seasonal stopover,coastal,4,F,53.94,0,0,migrant,-135.06,-26.98,0.10812
868,10/31/2014,year-round breeding,coastal,5,M,50.11,0,0,migrant,-111.51,-27.24,0
869,10/31/2014,year-round breeding,coastal,5,M,47.06,1,NA,migrant,-97.95,-30.12,0.65887
